pavadinimas,pasikartojimai
887,Pyvesos
709,Saulėtekio
600,Tujų
537,Gluosnių
488,Peršėkės
465,Rasos 1-oji
417,Rasos 2-oji
400,Rasos 3-ioji
380,Rasos 4-oji
377,Rasos 5-oji
370,Rasos 7-oji
362,Airėnų Sodų 3-ioji
358,Airėnų Sodų 6-oji
352,Airėnų Sodų 7-oji
344,Ežero
325,Semeliškių
306,Šušvės
303,Beržų
287,Pirties
256,Verniejaus
256,Trakų
248,Paparčių
244,Gilūšio
243,Šaltinių
243,Pyvesos
242,Trakų
238,Sudervės
234,Baluosio
226,Grikienių
224,Slėnio
223,Vileišių
219,Trakų
216,Gilūšio
214,Pijuoso
205,Žolynų
203,Mokyklos
197,Jaunystės
195,Ąžuolų
190,Žiedo
189,Švenčiaus
188,Verniejaus
185,Parko
185,Saulėtekio
185,Pievų
183,Tvenkinio
178,Sodo
173,Taučionių
166,Plentų
165,Žilinų
153,Ąžuolo
